Title,Company,Qualifications,Description,Location
IPCC fresher Or CA Inter / Article Ship,ENTERSLICE,Any Graduate,IPCC fresher Or CA Inter / Article ShipNumber of Opening: 1Job Location: AhmedabadSkills: IPCC fresher Or CA Inter / Article ShipJob Descri...,Ahmedabad
PHP Developer,Excellent Webworld Pvt. Ltd.,Diploma,Ltd. - Ahmedabad. Job SummaryWe are looking for a passionate PHP Developer to join our backend team. The ideal candidate will be an enthusi...,Ahmedabad
IT Software Engineer,VGP Energy LLP,BE/B.Tech,An awesome opportunity to work in a Product Based Start-up with an abundance of growth opportunity. We are looking for a motivated and expe...,Ahmedabad
COUNSELOR,Podar Education Network Pvt Ltd,BA,COUNSELORLocation: MehsanaExperience: 0 - 3 YearsSalary: Not Disclosed by RecruiterIndustry: Education / Teaching / TrainingFunctional Area...,Ahmedabad
Core PHP Developer,TIGI HR Solution Pvt. Ltd.,BCA,"Ltd. - Ahmedabad. Core PHP DeveloperExperience : 0 - 5 YearLocation : AhmedabadSalary : Rs. 50,000 (p/m)Requirements :Proven software devel...",Ahmedabad
Receptionist Front Desk,Ashima consultancy,12th Pass (HSE),Want a person who can handle back office work  and all official work . Shift timing 9:30 to 6:30 .location bhodhakdev . Male...,Ahmedabad
HR Recruiter,Up to mark,Any Post Graduate,This is an MCA approved company and providing part-time and full-time jobs.you have to work 2 to 3 hour at the office or at home also.&...,Ahmedabad
Trainer Salon,Urbanclap Technologies India Pvt. Ltd.,12th Pass (HSE),Ltd.. Register with Teamlease to apply online for similar kind of Trainer Salon jobs....,Ahmedabad
Graphic Designer/Social Media Campaigning,AB Tours and Travel,Certificate Course (ITI),"Job Description:Designing promotional materials
& images for social media, websites, blogs, etc.Business promotion on social media
like...",Ahmedabad
PHP Developer,Archirayan Infotech,Diploma,"Job Description:Good experience with OOP (object oriented programming),PHP, Mysql, NoSQL, HTML5, CSS3, JavaScript / jQuery, AngularJS / Re...",Ahmedabad
Sales Marketing Executive,TIGI HR Solution Pvt. Ltd.,Any Graduate,"Ltd. - Ahmedabad. Sales & Marketing ExecutiveLocation : AhmedabadSalary : 35,000 (p/m)Responsibilities:New client acquisition for provi...",Ahmedabad
React JS Developer,Bytes Technolab,Any Post Graduate,"React JS DeveloperWe are looking for a great developer who is proficient with React.js & React native.Strong proficiency in JavaScript,...",Ahmedabad
Angular,Bytes Technolab,Any Post Graduate,"Angular , MongoDB(DynamoDB) , NodeJSBuilding micro service based systems and Restfully abstract to the UI through a Node.js backend.Define ...",Ahmedabad
Field Nurse,SHPL,BSc,Register with Teamlease to apply online for similar kind of Field Nurse jobs....,Ahmedabad
Software Trainee,The One Technologies,BE/B.Tech,"Throughout 60% in Academic. (10th, 12th, Bachelor, Master) First 6 Months- Software TraineeJob securityWe have opened in .NET Dev...",Ahmedabad
Tele Caller Executive,Freedom Tourism,BA,Register with Teamlease to apply online for similar kind of Tele Caller Executive jobs....,Ahmedabad
MIS Executive,ads foundatoin,Diploma,Register with Teamlease to apply online for similar kind of MIS Executive jobs....,Ahmedabad
Warehouse Executive,Hansol Logistics India Private Limited,BA,Register with Teamlease to apply online for similar kind of Warehouse Executive jobs....,Ahmedabad
.NET Developer,DataSOS Technologies,Diploma,NET Developer Jobs in DataSOS Technologies - Ahmedabad. Greetings from DataSOS Technologies!We have an urgent opening for .NET Developer.Com...,Ahmedabad
Executive/ Sr. Executive-Talent Acquisition,ARC Consulting,M.Com,"Executive-Talent Acquisition Jobs in ARC Consulting - Ahmedabad. Responsible for end to end
recruitment processRecruitment across bottom,
m...",Ahmedabad
Customer Care and Operation Executive,myBageecha.com,BA,com. Register with Teamlease to apply online for similar kind of Customer Care and Operation Executive jobs....,Ahmedabad
Staff Nurse ICU,Goenka Hospital,10th Pass (SSC),Register with Teamlease to apply online for similar kind of Staff Nurse ICU jobs....,Ahmedabad
