Title,Company,Qualifications,Description,Location
HR Intern,Microland Limited,MBA/PGDM,Eligibility:MBA/M.com graduates from 2019 and 2020 batches.Roles & Resposibility:Handing different requirements (IT/non-IT/BPO etc)Cand...,Bangalore
Service Area Manager,Nestaway,Diploma,"Job Designation: Service Area ManagerJob Role: Service Processor, Service Dispatcher Roles and responsibilities: Resolving Servic...",Bangalore
Academic Consultant,Toppr Technologies,B.Com,"Job Designation : Academic ConsultantEligibility & Qualification:Fresher’s – 2019 passed out only and education MBA, BCOM, BBM&nbsp...",Chennai
Academic Consultant,Toppr.com,B.Com,com - Bangalore. Job Designation: Academic ConsultantDesired SkillsGraduate with 0- 5 yrs. of B2C Sales/ Field Sales Experience.Good Communi...,Bangalore
Inside Sales Manager,Edureka,B.Com,"Job Designation: Inside Sales ManagerRoles & Responsibilities:Generate revenue and make a huge impact on Edureka’s growth, by develop...",Bangalore
Software Engineer,MAQ Software,BE/B.Tech,"Eligibility:BE/B. Tech (CSE/IT/ECE/EEE),ME/M. Tech (CSE/IT/ECE/EEE),MCA graduates from 2019 batch with 60% in 10th and 12thSalary: ...",Hyderabad
Delivery Partner,Swiggy,Certificate Course (ITI),"SWIGGY looking for Delivery Partners at Kochi Benefits Good Earnings*
Insurance cover
Flexible work Time*Performance-Based Incentives
...",Kozhikode
Front Line Sales Executive,HDFC Life Insurance - PGPLI,Any Graduate,"Job Role: Front Line Sales Executive with Salary 2.5 Lakh/annum + Incentive
Job Responsib...",Anywhere in India
Business Development Manager,HDFC Life Insurance,Any Graduate,Job Role: Business Development Manager with Salary 3 Lakh/annum + Incentive Eligibility Criteria: Graduation in any stream from a...,Anywhere in India
Business Development Executive,Margadarsi chits private limited,Certificate Course (ITI),Job designation: Business Development ExecutiveJob Roles & Responsibilities:Development: They need to enroll new members in our Chit gr...,Chennai
Front Line Sales Executive,UpGrad,Any Graduate,100% Job Guarantee* - Start your career in insurance with India's leading corporate - HDFC Life right after course completion * on successf...,Anywhere in India
Client Acquisition Executive,IndiaMart,Any Graduate,"IndiaMART - CLIENT ACQUISITION EXECUTIVE with SALARY 5.5 LPA
 
Job Responsibilities:-
To generate leads & Identify decision maker...",Anywhere in India
Management Trainees,PDIL,BE/B.Tech,"Advt. No. HR/71/19/01
Management Trainees  job Position in Projects &
Development India Limited (PDIL)
Discipline : Process
(Che...",Anywhere in India
Probationary Officer/ Management Trainee,IBPS,Any Graduate,"Probationary Officer/ Management Trainee Job Position in  Institute
of Banking Personnel Selection (IBPS)
The online examination (Pr...",Anywhere in India
Project trainee,SUMMIT I T SOLUTIONS PRIVATE LIMITED,BE/B.Tech,Designation: Project TraineeEligibility Criteria:BE/B.Tech (CSE/ EEE/ E&C/IT) with 70% throughout  in their academics.Job Descript...,Bangalore
Trainee Software Developer,Extrieve Technologies,BCA,"Requisites:Good to have – Javascript , HTMLGood to have experience in developing window based applications using Database (SQL,Oracle)&nb...",Bangalore
Associate Software Developer,Aptean,BE/B.Tech,"Eligibility:BE/Btech, MCA engineering graduates from 2018 and 2019 batches with 60% throughout in their academicsJob Overview:The Associate...",Bangalore
Junior Data Science and Machine Learning Engineer,Predictly Tech Labs,BE/B.Tech,"Eligibility: BE/ B.Tech/ ME/ M.Tech (CSE, IT) from 2017, 2018, 2019 BatchesJob Description : Talented and ambitious Python Develo...",Bangalore
Associate Software Engineer,Micro Focus,BE/B.Tech,"Eligibility: BE/ B.Tech (CSE, IT, ECE, EEE),MCA from 2019 Batch with an aggregate of 60% and above.Job Description:Understanding the r...",Bangalore
PHP Developer,XAdapter,BCA,"Eligibility:BE/ BTech (CSE/ IS/ IT/ ECE/ EEE),MCA from 2018 - 2019 Pass out batch with 60% and above.Responsibilities:Ability to think logi...",Bangalore
Relationship Manager,TATA AIA LIFE,Any Post Graduate,EligibilityGraduate with a minimum of 50% marks (Aggregate) in any discipline from a government recognized university.Candidate must be up ...,Anywhere in India
Business Development Executive,Tismo Technology Solutions,BE/B.Tech,Eligibility Criteria:BE/ B.Tech / M.E/ M.Tech and MBA with B.E/B.Tech from 2018-19 batches with 60% throughout academics.Only Male ...,Bangalore
IT Analyst,Elula Technologies,BE/B.Tech,"Eligibility Criteria: BE/BTech (CS/IT/EC/EE) from 2019 batch with 60% throughout.Job Description:A technical background, preferably in soft...",Bangalore
Graduate Engineer,Reliance Jio,BE/B.Tech,"Eligibility:BE/BTech, ME/M.Tech (CSE/ISE/IT/ECE) & MCA from 2018 & 19 batch with 60% in throughout academics.Job Description :Compi...",Hyderabad
Marketing Executive,Awign Enterprises,Any Graduate,Eligibility: Any graduate from 2018 - 2019 pass-outJob Description:Coordinate with operation teams to identify the requirements for ongoing...,Bangalore
Product Support Engineer,Flock,BE/B.Tech,Eligibility :BE/ B.Tech (CS/IT/IS/EEE/ECE) MCA from 2019 batches with 60% in Engineering.Job Description :Communicate with customers in a f...,Bangalore
QA Engineer,Ipsoft Global Services,BE/B.Tech,"Eligibility:BE/Btech [CSE, EEE, ECE] engineering graduates from 2019 batch with 65% and above in throughout academicsJob Overview:As we bui...",Bangalore
Android Developer,Mist Minds Technologies,BE/B.Tech,"Eligibility: BE/ B.Tech (CSE, IT, ECE, EEE),MCA from 2019 BatchJob Description:Translate application storyboards and use cases into fu...",Bangalore
Jr. Engineer/Sr. Technical Assistant,SSC,BE/B.Tech,"Engineer/Sr. Technical Assistant Jobs in SSC - Across India. Advertisement No: Phase-VII/2019/Selection Posts
Jr. Engineer/Sr. Technical A...",Anywhere in India
Assistant/ Associates/ Assistant Manager,LIC Housing Finance Ltd.,MBA/PGDM,"- Across India. Assistant/ Associates/
Assistant Manager  job opportunities
in LIC Housing Finance Ltd.
Assistant
No. of Posts :&nbs...",Anywhere in India
Technician Apprentice,VSSC,Diploma,"VSSC/R&R/9.2/VIN/01/2019
Technician Apprentice recruiting 158 job vacancies in Vikram
Sarabhai Space Centre (VSSC)
Automobile - 8 Pos...",Kochi
Yantrik,Indian Coast Guard,Diploma,"Yantrik   job
vacancies in Indian Coast Guard
Applications are invited from Indian male candidates
possessing educational qualif...",Anywhere in India
HR Executive,Vonjura Private Limited,MBA/PGDM,"7-Days travel in a month, any nearby states of MP.Knowledge of Recruitment.Recruitment consultancy experience if any.Knowledge about job co...",Bhopal
Business Development Executive,Vedantu,Any Graduate,"Roles & ResponsibilitySales: Present, promote and sell products/services using solid arguments to prospective customersUnderstand ...",Hyderabad
Team Manager,ADI HR & Consulting,Diploma,"The company is looking for a territory salesperson with good communication skill, body language & presence of mind to sell our product'...",Kolkata
Management Information System,Hiya Techsolutions P Ltd,BCA,MIS are in charge of developing and implementing the first line of defense against critical malfunctions. They do this through creatin...,Madurai
Business Development Executive,Innowyn Business Solutions,BBA/BBM,"Job Description: -Generating IT business- Market segmentation- Internet Marketing, Cold calling- Generating leads through various...",Vadodara
Technical Support,Rivera ManpowerServices,BA,Openings available: Process Name: Technical Support (Voice Process) / IT Helpdesk (Voice Process) profileShift Timings: Day ...,Bangalore
PHP Developer,ISec Services,BCA,"PHP, Laravel, HTML5, CSS, Bootstrap and MySQL are preferred. High level of data architecture and website design skills, creativity, documen...",Mumbai
SEMI VOICE,Rivera ManpowerServices,B.Com,Job Description In-house event at Rivera Manpower Services for Fresher for banking support. In-house interviews.No more rounds to...,Bangalore
Marketing Executive,Yash Electronic,12th Pass (HSE),"The job Role is that interested candidates have to do marketing with same field consumer, They have to make the customer on a national...",Faridabad
Trade Apprentices,National Metallurgical Laboratory,Certificate Course (ITI),Advertisement No.: 05/2019Trade Apprentices job Position in National Metallurgical Laboratory on purely temporary basisAge : Minimum 15 yea...,Jamshedpur
Apprentices,ONGC,Certificate Course (ITI),"Advt. No:
ONGC/TRIPURA ASSET/APPR/2/2019
Apprentices job
Position in Oil and Natural Gas Corporation Limited (ONGC),Agartala
Trade : Sec...",Agartala
Product Advisor,Capitals and insurance,12th Pass (HSE),"Financial advisor,and trained the fresher candidate and help them as you can.Job type:Full timeBoth male and female can apply....",Kolkata
Content Writer,High seo service,Other Graduate,Doing on-page/off-page site analysisUsing various advance tools for SEO research and analysisCompetitior Analysis keyword researchContent a...,Anywhere in India
Marketing Executive,Nittro Bengal enterprise,B.Com,"Marketing executive
Marketing executives contribute to and develop integrated marketing campaigns. Tasks can involve:
liaising a...",Kolkata
JRF Life Sciences,PGIMER,M Phil / Ph.D,"JRF Life Sciences Job Opportunity At PGIMER purely on contract basisProject Title: ""Genetic basis of early-onset systemic lupus erythematos...",Chandigarh
Field Marketing Executive,Grama Milk,B.Com,Visiting apartments & Villas to get new clientsputting up kiosks and managing it.maintaining good relations with customersbe a part of ...,Bangalore
Centre Head,Neokindergarten Learning Pvt Ltd,Certificate Course (ITI),"Centre Head - Early Childhood Care, Learning and DevelopmentJob SummaryWe are looking for creative, transformational and innovative leaders...",Bangalore
Android Developer,TalentWiser,BE/B.Tech,We are scouting for B.E/ B Tech Fresher for Andriod Developer role Candidate must have good logical thinking & problem-solving&nbs...,Varanasi
US IT Recruiter,Stellent It,BCA,looking for US It recruiter in Noida sector 63.shift timing shild 7 Pm to 4 Am. emplloyee will find out It talent for our client based...,Noida
supplier development and sourcing executive,Enigo,BBA/BBM,"Responsibilities and Duties Very well connected with various FMCG, Industrial,Electronics, Home appliances brands Manufacturers,Distribu...",Chennai
Assistant Professors Non-academic / Senior Residents non-academic,PGIMER,MD,Adv./ No.PGI/RC/2019/108/3362 Dated: 09.08.2019Assistant Professors (Non-academic) / Senior Residents (non-academic) Job Opportunity At PGI...,Chandigarh
Electrician/ Plumber/ Carpenter,Veermata Jijabai Technological Institute,Certificate Course (ITI),"Electrician/ Plumber/
Carpenter  job vacancies in Veermata
Jijabai Technological Institute
Electrician
No. of Post  :  01
...",Mumbai
Project Assistant Level II Geology,NGRI,MSc,"Advertisement No.
NGRI-5/2019/PA/Rectt.
Project Assistant Level – II job opportunities in National Geophysical Research Institute
...",Hyderabad
Senior Inside Sales Manager 1-5 yrs,Intellipaat Software Solutions PVt. Ltd.,BBA/BBM,Ltd. - Bangalore. Role :  - New Customer Acquisition  - Customer Relationship Management  - Operations and Re...,Bangalore
Technical support Executive,Black And White Business Solutions Pvt Ltd,LLM,"Hi,Walk-in interview at Black and white business solutions,  appear for multiple companies on the same.Designation : TSA Technical sup...",Bangalore
Customer Support Executive,Black And White Business Solutions Pvt Ltd,LLM,"Hi,Walk-in interview at Black and white business solutions.Appear
for multiple companies in one day for different job roles, Technical
su...",Bangalore
Graphics Designer/Video Editor,AM INFOTRIX,MBA/PGDM,Job Location: KolkataJob SummaryWe’re searching for a talented graphic designer to help us bring our designs to life. We’re looking for...,Kolkata
HR Recruiter,Newjobsodisha,MBA/PGDM,job title-it recruiter posting location-Kalpanaqualification-MBAexperience-1 to 3 yr must have good communication skill.salary-12000 t...,Bhubaneswar
Coordinator,Baba shri chand ji enterprises,12th Pass (HSE),"Urgent required CoordinatorLocation – MohaliQualification – 12th, GraduateSalary – no bar (negotiable )Experience – Minimum 1 yrsRo...",Chandigarh
Sales and Marketing Executive,Amarzen,BBA/BBM,"Responsibilities and Duties Very well connected with various FMCG, Industrial, Electronics, Home appliances brands Manufacturers, Distri...",Chennai
Team Leader,SP PLACEMENT,B.Com,Coordinate with account & sales teamNeed to make Performa InvoiceMake basic logistic & other documentationLabel making & printi...,Rajkot
UI developer,Trawex Technologies Pvt Ltd,B.Com,"We’re looking for a talented, dedicated Lead Web Designer to design travel portals. Working as part of our lively and expert development ...",Bangalore
BPO Domestic/International,Spyware global solutions,10th Pass (SSC),"URGENTLY REQUIRED 100  MALE/
FEMALE CANDIDATES FOR DAY SHIFT DOMESTIC BPO PROCESS- 7K + INCENTIVES...",Hyderabad
SHOP INCHARGE,Jewish Apparels And Accessories,Diploma,maintaining statistical and financial recordsdealing with customer queries and complaintsoverseeing pricing and stock controlpreparing prom...,Kottayam
Field Marketing Representative,T7E Aftermarket Connect ltd,Any Graduate,Urgent Opening for Field Marketing Representative at Chennai.Job Summary1. To visit the mechanic workshop/service centre.2. To influence me...,Chennai
Web Designer,Trawex Technologies Pvt Ltd,B.Com,"We’re looking for a talented, dedicated Lead Web Designer to design travel portals. Working as part of our lively and expert development ...",Bangalore
Telecaller,WS Foods Pvt. Ltd.,12th Pass (HSE),Ltd. - Pune. 1Calling Customers and Informing Them About the Company's Product/ Service.2 Receiving Calls and Solve Queries of Customers3 G...,Pune
Accountant,PBC Infotech,B.Com,"Leading MNC Urgently Required Office Accountant
Designation: Office Accountant
Qualification: B.COM Graduate
Age: 18 to 30 Years
Salar...",Kolkata
Manager - Store Operations,D B Creations,12th Pass (HSE),Looking for someone to manage all billing and sales. Should be able to operate a computer. Should know how to use Microsoft excel. The pers...,Mumbai
Field Marketing Executive,Lawyerspunch,10th Pass (SSC),"This Software is For Law Advocate, law colleges and judges and we are also giving Commission basis also.This is new in India.We are ...",Mumbai
Telecaller,SSC Services Pvt. Ltd.,B.Com,Ltd. - Noida. JD for Telecalling profile:- 1. Making Enhanced outbound sales process on leads provided by the company.2. Should have g...,Noida
Store Sales Executive,Zues Big Brands,Diploma,Job briefWe are looking for a Retail Sales Representative to provide excellent customer service and meet sales quotas for our business.Cand...,Kochi
Delivery Boy,Mpaani Solutions Pvt Ltd,10th Pass (SSC),Delivery Location:Andheri EastAndheri WestPowaiJuhuBandra EastBandra WestThe candidate must have a 2 wheelerDaily Incentives varies from lo...,Mumbai
Business Executive,Destinigo World Multiservices pvt,Diploma,online promotion of the companyDestiniGo World is a friendly online travel portal that offers services to help you avail the best of opport...,Mumbai
Engineer - Android Application Development,Royals Webtech Pvt Ltd,BE/B.Tech,"Android Application DevelopmentEducation Criteria- Students appearing MCA or MCS or MSC-Computer Science Skills Required: Java, AndroidRole...",Nagpur
Office Assistant,RJR business workmates pvt ltd,B.Com,"Vacancy for office work jobs By RJR business workmates pvt ltd.Qualification: 10th, 12th, B.A., B.Com, B.sc., diploma, Any post gradua...",Jodhpur
Direct Tv international voice process,Keya it research pvt ltd,B.Com,Direct Tv  – international voice processRequired : Fresher(only for male)Location: Karol baghSalary: 10k-15kJob descriptionMust have...,Delhi
Project Attendant,IIT Kanpur,Upto 9th Std,Advertisement Number: P.Rect./R&D/2019/273 Project Attendant 'level 1'  recruitment at IIT Kanpur  on pur...,Kanpur
PHP Wordpress Developer,Keya it research pvt ltd,Diploma,Php+ WordPress developerLocation: NSPSalary: Upto 30kResponsibilities and DutiesHaving a good experience in core PHP and WordPressDevelop n...,Delhi
Consultant Programme,National Bal Bhavan,MSc,Consultant (Programme) Job Opportunity At National Bal Bhavan on contract basisThe candidate will be responsible for coordin...,Delhi
SRF Nutrition,National Institute of Agricultural Extension Management,MSc,SRF Nutrition job recruitment in National Institute of Agricultural Extension Management on contract basisEssential Qualification...,Hyderabad
Accountant,Friends consultancy,B.Com,Required Experience Candidate For Accountant In patialaQualification :- b.comSalary :- 10000/12000Good communication Skills / Good Tally Kn...,Patiala
Young Professionals Legal,National Highways Authority of India,LLB,"Young Professionals (Legal)  job opportunities in National Highways Authority of India on contract basis Education
qual...",Delhi
GROUND OPERATION STAFF,ZJORA CO LTD,Certificate Course (ITI),Job SummaryWe are hiring for GROUND OPERATION STAFF  Walk-in interview is going on.Responsibilities and DutiesEmployees have to s...,Anywhere in India
Project Technician,SCTIMST,MSc,Project Technician Job Opportunity in Sree Chitra Tirunal Institute for Medical Sciences & Technology (SCTIMST) Qualification...,Thiruvananthapuram
Ecommerce executive,21 Degree,Any Graduate,"Set up company's e-commerce at various portals and manage marketing and sales through these channels Report to management with nos., r...",Pune
Project Engineer/ Process Engineer,Institute of Chemical Technology,BE/B.Tech,Project Engineer/ Process Engineer Job Opportunity At Institute of Chemical TechnologyProject Engineer/ 02 PostsProject...,Mumbai
Junior Accountant,Sarjan consultancy,Certificate Course (ITI),they need to work as a jr.accountant or do the entry of sales and purchase. daily work of owner some time also work ...,Surat
Research Assistant Chemical Engg.,Institute of Chemical Technology,BE/B.Tech,Jobs in Institute of Chemical Technology - Mumbai. Research Assistant Chemical Engg. Job Opportunity At Institute of Chemica...,Mumbai
Sales and Marketing Executive,Nine keys,10th Pass (SSC),the person has to visit daily to retail shops in all over bangalore. show the samples and collect the orders.person should have valid ...,Bangalore
Project Fellow Biotechnology,Institute of Chemical Technology,ME/M.Tech,Project Fellow  Biotechnology Job Opportunity At Institute of Chemical TechnologyProject Title : 'Prebiotic Study on K-...,Mumbai
Sr. Project Scientist Polymer Science,IIT Delhi,M Phil / Ph.D,Project Scientist Polymer Science Jobs in IIT Delhi - Delhi. No. IITD/IRD/RP03594N/132911 /Advertisement No.: IITD/IRD/124/2019 Sr. Pr...,Delhi
Project Assistant Biology /Skilled Worker,Bundelkhand University Jhansi,BSc,Project Assistant Biology /Skilled Worker job vacancies in Bundelkhand University JhansiResearch project : ‘Demonstration ...,Jhansi
Craft / Workshop Instructor,Sainik School Korukonda,10th Pass (SSC),"Craft / Workshop Instructor (Contractual)
UR   job Position in Sainik School KorukondaEssential qualifications : (i) Matricu...",Visakhapatnam
Trainee Operator,MS. SAKATA INX INDIA PVT. LTD.,BSc,"SAKATA INX INDIA PVT. LTD. - Alwar. We require B.Sc trainee operators, both boys & girls for day today day production / system activiti...",Alwar
Pharmacist,Tata Memorial Hospital,B.Pharm,"ADVT NO:  OS/22/2019   Required Pharmacist on Contract Basis through Outsourcing Agency for HomiBhabha Cancer Hospital, Vara...",Varanasi
Business development Interns,Human Transcript,Diploma,"Dear Concern,I am looking for some candidate with very good convincing skills and goal-oriented. if the following criteria match to profile...",Delhi
Junior Accountant,K K VISWESWARA RAO,B.Com,Candidate must be Graduate in Commerce and Knowledge in Tally  and MS excel and wordTyping skills are added advantage Office timi...,Visakhapatnam
Computer Operartor,SRI PRASAD GAS COMPANY,10th Pass (SSC),WE WANT COMPUTER OPERATOR FOR OUR GAS COMPANY INTERESTED CANDIDATES CAN APPLY FOR THIS JOB. WE WANT COMPUTER OPERATOR FOR OUR GAS COMP...,Rajahmundry
Field Sales Executive,Fundore entertainment park,Any Graduate,"1.     
Sales
projections by forecasting and making an executable sales plan.
2.     
Re...",Indore
Business Development Executive,AM INFOTRIX,MBA/PGDM,"Job Location: KolkataJob Summary:Right, Softwarewala (AMINFOTRIX TECHNOLOGIES PVT LTD) is looking for a talented MBA Freshers and Experienc...",Kolkata
Associate Professor Human Resource,Shiv Nadar University,MA,Job Id: 138Associate Professor Human Resource Management job opportunities in Shiv Nadar UniversityDepartment: Organiza...,Noida
