,Title,Company,Location,Salary,Summary
0,IT Operations Officer (IDC),flydubai,"Hyderabad, Telangana",Nan,"Ensures that necessary approvals are sought and obtained in a timely manner, so that no delay takes place in the day-to-day running for 24x7 Operations and…"
1,Delivery Boy / Delivery Executive (Fresher) - Ahmednagar,Ride.Swiggy,"Ahmadnagar, Maharashtra",240000.0,"Candidates with prior experience in data entry, call centre, collection agents can apply to maximise their earnings up to 25,000 Rs++ per month."
2,Gyneocologist,Bannu Arogyada Seva society,"Eturnagaram, Andhra Pradesh",960000.0,"Attractive salary plus incentive (Indian currency) and all state of art equipment and support staff provided ,for or more details please contact Charan@ Bannu…"
3,Office Assistant |Bangalore|immediate joining,Gupta College,"Bengaluru, Karnataka",108000.0,"#808, 100 feet Ring Road,. Gupta College (affiliated to Bangalore University & approved by Government of Karnataka) requires Office Assistant (preferably male…"
4,Assistant Executive,DriTal Technologies,"Gurgaon, Haryana",510000.0,Have an understanding of the requirements and implications of working at the Chairman’s Office. Maintain customer confidence and other stakeholders by keeping…
5,STORE INCHARGE,G. K. Founders,India,Nan,Job Profile:Key Responsibility Areas:Stock control and stock levelsStore budgeting.Staff RecruitmentsRecommendation or implementation of store procedures and…
6,Executive Logistics and Warehouse,TransForm Solution Pvt. Ltd.,"Dahej, Gujarat",400000.0,Salary depends of current + Other Benefits like (Transportation/Canteen/Mediclaim/Mobile). _Actively contribute in Logistics /Store under Store/Logistics…
7,Data Entry Operator(DEO)/Computer Operator,ZasyaSolutions,"Kasumpti, Himachal Pradesh",180000.0,Give the regular Detail of business. Maintain database on regular basis. Verify data and correct database. Review and verify the entries. Age - 18 To 28 Yr.
8,"Looking for Purchase Engineer@ Thaltej, Ahmedabad Location",S.Mark Engineering (I) Pvt. Ltd.,"Ahmedabad, Gujarat",Nan,We have an opening for the position of Purchase Engineer profile. Greetings from S.Mark Engineering Pvt. Preference will be given to BE Mechanical Candidate…
9,Branch:Customer Service Officer,Axis Bank,"Patiala, Punjab",Nan,"A CSO is primarily responsible for timely processing of bank transactions like funds transfer, Cheques, Opening of Accounts, reconciliation of office accounts,…"
10,Trade Apprentice,Raja Ramanna Centre for Advanced Technology,"Indore, Madhya Pradesh",0,Maximum file size to be uploaded is restricted to 300 KB.7. Only finally submitted applications will be considered for further processing.11.
11,NUN Community Volunteer - Coordinator (Youth Advocates) - Ri...,ActiveUnited Nations Development Programme (UNDP),"Shillong, Meghalaya",0,"Further, one-time payment of Rs. Strengthen their knowledge and understanding of the concept of volunteerism by reading relevant UNV and external publications…"
12,Data Entry Operator,Federation of Indian Micro and Small Medium Enterp...,India,Nan,"The basic work is to do Data entry work, feeding information into the system, surfing internet for databases, and other assigned duties."
13,IT Assistant/Executive,Foodlink Services India Pvt.Ltd,"Ahmedabad, Gujarat",168000.0,"*Job Summary* IT Assistant/Executive Job Type: Full-time Salary: ₹12,000.00 to ₹16,000.00 /month Experience: * work: 1 year (Preferred) * total work: 1…"
14,Personal Driver,RS The Palace,"Kanpur, Uttar Pradesh",108000.0,"Driver required who is able to drive big SUV'd like fortuner,endeavour. Also should have a driving experience of more than 5 yrs and be able to drive automatic…"
15,Sanyaasi - Monk/Priest,Sriom Adisakthi Ashram,"Walajabad, Tamil Nadu",Nan,"Help people realize importance of faith and higher power. This is an urgent position, send us your CV today through the relevant link."
16,"ms office and exce, macros",gtpl hathway ltd,"Ahmedabad, Gujarat",150000.0,"We reqruired MIS for data report and maintain all excel related work, need master in excel and ms office and macros."
17,Store Assistant,Ishita Drugs & Industries Ltd.,"Sanand, Gujarat",Nan,"If interested please send your updated resume along with your following details: Material Inward outward, Vendor Coordination, Negotiation, Purchase order, Etc."
18,"Programme Officer, IT Officer",National Institute of Occupational Health,"Ahmedabad, Gujarat",Nan,PG Diploma in Remote Sensing/GIS and one year experience OR Graduation in Computer Science/Information Technology/ Computer Application with knowledge of…
19,Admin Executive,Sirez,India,Nan,10)Taking feedback of candidate after interview. Will be responsible for all front office and admin tasks. The role also involves handling recruitment of open…
20,Compliance Officer,Dash Technologies Inc.,"Ahmedabad, Gujarat",Nan,( Willing to work for Night Shift ). ( Willing to work in Night Shift ). Make sure compliance status of consultants to the company’s policies and protocols.
21,Office Assistant,Aryaanya Group,"Ahmedabad, Gujarat",Nan,"Our company is looking for an Office Assistant to be responsible for handling clerical tasks in our. In order for you to be selected as a candidate, you will…"
22,Corporate Process Excellence - Team Member,Indus Tower Ltd,India,Nan,Post graduation in engineering or business is preferred. Facilitate workshops and conduct awareness campaigns in order to ensure that team members and employees…
23,Warehouse Executive,Prestige Pursuits Pvt Ltd.(Channel Partner of Proc...,"Bhiwandi, Maharashtra",Nan,"9:00 AM till 6:00 PM. Ø Direct all operational aspects including distribution operations, customer service, human resources, and administration."
24,State Warehouse Executive,Reliance Jio Infocomm Limited,"Ahmedabad, Gujarat",Nan,Graduation degree in any discipline. Handle operations and maintenance spares & consumables. Monitor operations as per SOP. Dispose damaged or scrap material.
25,Data Entry Operator,Department of Pediatrics AIIMS,"New Delhi, Delhi",Nan,Staff working at AIIMS New Delhi. Applications are invited from interested and highly motivated candidates for the following positions in a DBT funded project…
26,Delivery Boy / Delivery Executive (Fresher) - Ahmednagar,Ride.Swiggy,"Ahmadnagar, Maharashtra",240000.0,Join Swiggy family as Part-Time or a Full-time Food Delivery executive Who can be an ideal rider/driver/ delivery boy/logistics/ delivery executive for Swiggy...
