Title,Company,Location,Salary,Summary
Android Developer,AppWorld Infotech,"Surat, Gujarat","₹10,000 - ₹15,000 a month","Urgently looking for Android Developer at AppWorld Infotech.*. Should be very strong in Android, Java, Android native development."
Python Full Stack Web Developer - Enterprise Applications,Kanssfer Consulting,"Surat, Gujarat","₹20,000 - ₹35,000 a month",We are looking for a Full-Stack Python Web Application Developer for Enterprise Applications: Conducting and UAT and Sign-offs on site of client premises.
Android Developer,Origin Infotech,"Surat, Gujarat","₹10,000 - ₹20,000 a month",Android applications with explicit user interface and great accessibility which makes user life more simple and independent.
Android Developer,Weapplinse Technology,"Surat, Gujarat","₹12,000 - ₹35,000 a month","Who has solid knowledge of Android Application life cycle, can manage, drive them and made them submit all project on deadline."
Java Developer,Cousins Infotech,Nan,Nan,"Strong Programming skills on Core Java And OOPS. If interested, please send your CV on career@cousinsinfotech.com."
Java Backend Developer,Kaapro Management Solution,Nan,"₹20,000 - ₹45,000 a month",The candidate will have the opportunity to work with various international clients on a Java Web architectures and Platforms to build web applications in Java…
Java Developer,Shukul Infotech Pvt Ltd,Nan,"₹25,000 - ₹40,000 a month","Candidate having an experience of more than 2 years in Java can apply. In case of any information requirement, you can contact on 9662038390 / 7211114383."
Java developer,Webforest LLP,Nan,"₹10,000 - ₹15,000 a month","Urgently looking for Java Developer fresher. Required Experience, Skills and Qualifications*."
Java Web Developer,Weetech Solution Pvt. Ltd,Nan,Nan,The candidate will have the opportunity to work with various international clients on a Java Web architectures and Platforms to build web applications in Java…
Java Developer,Sahiba Ltd.,Nan,Nan,"Our modern equipment, expert staff, and advanced computerized systems enable us to provide leading services to the fabric industry and the garment trade not…"
Internship Training,WebAshlar,Nan,"₹4,000 - ₹8,000 a month","Candidate must have basic knowledge of C, C++, Java, .Net languages. WebAshlar is an emerging IT based company dealing in web design and development, since 2010…"
shopware developer,Escrow Jobs,Nan,"₹25,000 - ₹30,000 a month",Looking for a person who must have a knowledge of shopware and atleast have a minimum 1 year of experience in shopware technology ( NO BAR FOR RIGHT CANDIDATE).
Software Tester,Vasundhara Vision,Nan,"₹1,20,000 - ₹2,40,000 a year","Good Knowledge of SDLC, STLC and Bug Life Cycle. Good Knowledge of Software Testing Concepts and Practices. Knowledge of all phases of the Software Test Process…"
Angular Developer [1+ Year Experience ],Xunison Ltd.,Nan,"₹30,000 - ₹75,000 a month",AngularJS Developer duties and responsibilities. AngularJS Developer requirements and qualifications . We are looking for an AngularJS Developer to join our…
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
Android Developer,Implies Solution,"Surat, Gujarat",Nan,"Android, Java, UI/UX, Retrofit, SQLLite. Web Service Calling using Retrofit. Develop app as per requirement. Develop product for play store."
