Title,Company,Experience,Location,Skills,Summary
Admission Support Officer,People Strong Hr Services Pvt Ltd,0 to 2 Yrs,Surat,"Skills :engineering, surgery, sales, communication, psychopharmacology",Only Female Candidate Requirement: 1. Good communication skills. (Fluency in English/Hindi both is must ) 2. Candidate should be comfortable for target based job. Essential Duties and Responsibilities: 1. Sales
Admission Officer,People Strong Hr Services Pvt Ltd,0 to 5 Yrs,Surat,"Skills :management, coaching, marketing, communication, fundraising","Job Description: . 1 .Achive the Designated Targets 2. Generate database from Schools and other sources 3. Meets the Principals, Coordinators and management Personals of schools for Business generation. 4."
Required Sales Associate for Dubai,Victory International,2 to 5 Yrs,Surat,"Skills :sales, selling, jewelry, marketing, diamonds",One of the Reputed Jewelery Showroom in Dubai Requires Sales Associate (Male/Female)\ Salary : AED 1500 to 1800 per month Experience : 2-10 years Qualification : Any Graduate or undergraduate
Sales Manager Agency,Freelancer Goklani Komal MukeshKumar,2 to 7 Yrs,Surat,"Skills :agency, mentoring, any sales, agency channel, team management","Job Description To recruit, train, guide and mentor insurance consultants and generating new business and renewals for life insurance products and adhering to all policies of the company and rules"
Cluster Manager - Bancassurance - Life Insurance,Freelancer Goklani Komal MukeshKumar,5 to 10 Yrs,Surat,"Skills :sales, insurance, business development, bancassurance","OB PURPOSE: - To derive Insurance Business from assigned Relationship / Channel partner in an area or zone, to convince the relationship so they can convince their customer to invest"
Branch Head - Life Insurance (Agency),Freelancer Goklani Komal MukeshKumar,7 to 12 Yrs,Surat,"Skills :life insurance, ap sales","Job Description Designation: Branch Manager / Branch Head Salary:12Lac Location - Delhi , Surat , Ahmedabad , Bangalore , Nasik , Mumbai Experience: 5-12 year sales Job Profile: The Branch"
Required Supervisor post in foods company,Hr Solutions.. Hiring For Britannia company,0 to 4 Yrs,Surat,"Skills :supervision, pressure,","New Job Opening In Britannia Foods Company Salary Monthly Bases;-14,000/40000 Designation:- Supervisor. Store keeper. Senior supervisor Responsibilities --Supervisor are generally responsible for maintaining and overseeing inventory and supplies by receiving,"
Walk in For Airticketing,JN Hiring Solutions,0 to 2 Yrs,Surat,"Skills :management, ground staff activities","Dear Candidate, Greeting Of the day! We are Hiring for the jobs for the position of Maintenance Engineer/ Ground Staff Key Responsibilities:- Welcome passengers on board and directing them to"
SALES FIELD MANAGER FOR THE FMCG COMPANY,Adidev Herbals Pvt Ltd,1 to 5 Yrs,Surat,"Skills :purchasing, marketing, sales, herbal, strategy","ABOUT US: We are manufacturers of Herbal Beauty & Personal care products . Job Description The Business Development Manager is responsible for identifying and developing strategicbusiness relationships with group ,purchasing"
Sales Development Manager,Aspire ERP systems Hiring For Aspire ERP systems,1 to 6 Yrs,Surat,"Skills :insurance, management, marketing, relationship management, channel relationships",Greetings!!! From Aspire ERP Hiring Partner for MNC LIFE INSURANCE COMPANY NAME: MNC LIFE INSURANCE DESIGNATION: RELATIONSHIP MANAGER Channel: Banccassurance JOB PROFILE: HANDLING WALKIN CUSTOMERS OF THE BANK Responsible in
Equity Dealer_Dealer,Crest Manpower Solutions Pvt Ltd. Hiring For Crest Manpower Solutions Pvt Ltd.,1 to 6 Yrs,Surat,"Skills :dmat, stock, trading, derivatives, equity securities",Position title:-Equity Dealer A leading stock broking company is looking for Equity Dealer cum Advisors for your location. Experience:- Minimum 1 year in Equity Dealing (mandatory) Salary:- Up to 4.5
Health Insurance Counselor,SUPRO INFO SOLUTIONS PRIVATE LIMITED,1 to 6 Yrs,Surat,"Skills :sales, field sales, relationship manager, cold calling, financial planning manager",We are hiring Sales experienced candidates for our top client. Contact:9104598583 CTC: Depend on Previous Salary and Interview(Upto 5 Lac) Job Eligibility Criteria: - Minimum 1 years of Sales and
Python With Machine learning  Internship,MAXGEN TECHNOLOGIES PRIVATE LIMITED,0 to 1 Yr,Surat,"Skills :it, engineering, python, deep learning, machine learning","Maxgen Technologies Pvt Ltd hiring Summer Interns for Live Project Internship Program for Python . Candidate will work on live project in Core Python,Machine learning,AI technology We have experience staff"
